X,Y,Z,TYPE,STREET1,STREET2,STREET3,STREET4,INTERSECTI,GID
424139.505,5454727.567,0,NORMAL,"928",,,,"6178","59257"
424288.52,5454773.86,0,DEADEND,"928",,,,"6177","59258"
424295.914,5454598.419,0,NORMAL,"986","969",,,"6175","59259"
424220.014,5454631.837,0,DEADEND,"1124",,,,"6174","59260"
424277.818,5454639.461,0,NORMAL,"986","1124",,,"6173","59261"
424261.173,5454707.714,0,NORMAL,"988","986",,,"6172","59262"
424259.508,5454773.647,0,NORMAL,"928","986",,,"6171","59263"
424144.222,5454673.106,0,DEADEND,"928",,,,"6170","59264"
424139.359,5454710.205,0,NORMAL,"928","988",,,"6169","59265"
424309.98,5454821.714,0,NORMAL,"356","1154","123",,"6168","59266"
424096.612,5454825.825,0,NORMAL,"356","34",,,"6167","59267"
424095.48,5454727.643,0,NORMAL,"34","928","1048",,"6166","59268"
424094.828,5454630.168,0,NORMAL,"895","34","732",,"6164","59269"
423580.515,5454637.44,0,NORMAL,"340","895",,,"6163","59270"
423546.145,5454726.183,0,NORMAL,"1048","340",,,"6162","59271"
423999.519,5455019.079,0,DEADEND,"627",,,,"6160","59273"
423998.881,5454929.001,0,DEADEND,"809",,,,"6159","59274"
424070.629,5455020.661,0,NORMAL,"654","627",,,"6158","59275"
424107.868,5454926.928,0,NORMAL,"654","649",,,"6157","59276"
424459.773,5455007.769,0,DEADEND,"626",,,,"6204","59285"
424073.592,5454938.744,0,NORMAL,"654","809",,,"6156","59277"
423909.093,5454883.432,0,NORMAL,"667","649",,,"6155","59278"
423908.535,5454836.119,0,NORMAL,"667","356",,,"6154","59279"
424458.564,5454916.67,0,DEADEND,"802",,,,"6205","59284"
424404.593,5455098.131,0,DEADEND,"191",,,,"6203","59286"
424819.586,5455358.552,0,NORMAL,"562","813",,,"6221","59297"
424792.073,5455310.957,0,DEADEND,"813",,,,"6220","59298"
424702.146,5455265.964,0,NORMAL,"566","219",,,"6219","59299"
424703.254,5455349.047,0,NORMAL,"53","566",,,"6218","59300"
424555.255,5455377.194,0,DEADEND,"53",,,,"6217","59301"
424554.092,5455287.277,0,DEADEND,"219",,,,"6216","59302"
424852.516,5455000.87,0,NORMAL,"256","335",,,"6214","59304"
424698.64,5455003.047,0,NORMAL,"256","566",,,"6213","59305"
