name,price
"Apple 2024 MacBook Air med M2-chip: 13,6-tums Liquid Retina-skärm, 16GB RAM-minne, 256GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p. Funkar med iPhone/iPad; midnattsblå",13 495
"Apple 2024 MacBook Air med M2-chip: 13,6-tums Liquid Retina-skärm, 16GB RAM-minne, 256GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p. Funkar med iPhone/iPad; rymdgrå",13 490
"Apple 2024 MacBook Air med M2-chip: 13,6-tums Liquid Retina-skärm, 16GB RAM-minne, 256GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p. Funkar med iPhone/iPad; silver",13 495
"Apple 2024 MacBook Air med M2-chip: 13,6-tums Liquid Retina-skärm, 16GB RAM-minne, 256GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p. Funkar med iPhone/iPad; stjärnglans",13 490
"Apple 2024 MacBook Air med M2-chip: 13,6-tums Liquid Retina-skärm, 16GB RAM-minne, 256GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p. Funkar med iPhone/iPad; midnattsblå",13 495
"Apple 2024 MacBook Air med M2-chip: 13,6-tums Liquid Retina-skärm, 16GB RAM-minne, 256GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p. Funkar med iPhone/iPad; midnattsblå",13 495
"Apple 2024 MacBook Air med M2-chip: 13,6-tums Liquid Retina-skärm, 16GB RAM-minne, 256GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p. Funkar med iPhone/iPad; midnattsblå",13 495
"Apple 2024 13-tums MacBook Air med Apples M3-chip: 13,6-tums Liquid Retina-skärm, 16 GB enhetligt minne, 256 GB SSD-lagring, bakbelyst tangentbord, FaceTime HD- kamera med 1080p, Touch ID. Rymdgrå",15 490
"Apple 2024 13-tums MacBook Air med Apples M3-chip: 13,6-tums Liquid Retina-skärm, 16 GB enhetligt minne, 256 GB SSD-lagring, bakbelyst tangentbord, FaceTime HD- kamera med 1080p, Touch ID. Rymdgrå",15 490
"Apple 2024 13-tums MacBook Air med Apples M3-chip: 13,6-tums Liquid Retina-skärm, 16 GB enhetligt minne, 256 GB SSD-lagring, bakbelyst tangentbord, FaceTime HD- kamera med 1080p, Touch ID. Rymdgrå",15 490
"Apple 2024 13-tums MacBook Air med Apples M3-chip: 13,6-tums Liquid Retina-skärm, 16 GB enhetligt minne, 256 GB SSD-lagring, bakbelyst tangentbord, FaceTime HD- kamera med 1080p, Touch ID. Rymdgrå",15 490
"Apple 2024 15-tums MacBook Air med Apples M3-chip: 15,3-tums Liquid Retina-skärm, 16 GB enhetligt minne, 512 GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p, Touch ID. Midnatt",18 990
"Apple 2024 15-tums MacBook Air med Apples M3-chip: 15,3-tums Liquid Retina-skärm, 16 GB enhetligt minne, 512 GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p, Touch ID. Midnatt",18 990
"Apple 2024 15-tums MacBook Air med Apples M3-chip: 15,3-tums Liquid Retina-skärm, 16 GB enhetligt minne, 512 GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p, Touch ID. Midnatt",18 990
"Apple 2024 15-tums MacBook Air med Apples M3-chip: 15,3-tums Liquid Retina-skärm, 16 GB enhetligt minne, 512 GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p, Touch ID. Midnatt",18 990
"Apple 2024 15-tums MacBook Air med Apples M3-chip: 15,3-tums Liquid Retina-skärm, 16 GB enhetligt minne, 512 GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p, Touch ID. Midnatt",18 990
"Apple 2023 MacBook Air med M2-chip: 15,3-tums Liquid Retina-skärm, 8 GB RAM-minne, 512 GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p; midnattsblå",18 519
"Apple 2023 MacBook Air med M2-chip: 15,3-tums Liquid Retina-skärm, 8 GB RAM-minne, 512 GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p; midnattsblå",18 519
"Apple 2023 MacBook Air med M2-chip: 15,3-tums Liquid Retina-skärm, 8 GB RAM-minne, 512 GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p; midnattsblå",18 519
"Apple 2023 MacBook Air med M2-chip: 15,3-tums Liquid Retina-skärm, 8 GB RAM-minne, 512 GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p; midnattsblå",18 519
"Apple 2023 MacBook Air med M2-chip: 15,3-tums Liquid Retina-skärm, 8 GB RAM-minne, 512 GB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p; midnattsblå",18 519
"Apple 2020 MacBook Pro (13 tum, Touch Bar, 2,0 GHz fyrkärnig tionde generationen Intel Core i5-processor, 16 GB RAM, 1 TB SSD, fyra Thunderbolt 3-portar) - rymdgrå",9 999
"Apple 2020 MacBook Pro (13 tum, Touch Bar, 2,0 GHz fyrkärnig tionde generationen Intel Core i5-processor, 16 GB RAM, 1 TB SSD, fyra Thunderbolt 3-portar) - rymdgrå",9 999
"Apple 2020 MacBook Pro (13 tum, Touch Bar, 2,0 GHz fyrkärnig tionde generationen Intel Core i5-processor, 16 GB RAM, 1 TB SSD, fyra Thunderbolt 3-portar) - rymdgrå",9 999
"Apple 2024 MacBook Pro med M4 Pro-chip med 12-kärnig processor och 16-kärnig grafik: 14,2-tums Liquid Retina XDR-skärm, 24 GB enhetligt minne, 512 GB SSD-lagring, rymdsvart",28 989
"Apple 2024 MacBook Pro med M4 Pro-chip med 12-kärnig processor och 16-kärnig grafik: 14,2-tums Liquid Retina XDR-skärm, 24 GB enhetligt minne, 512 GB SSD-lagring, rymdsvart",28 989
"Apple 2024 MacBook Pro med M4 Pro-chip med 12-kärnig processor och 16-kärnig grafik: 14,2-tums Liquid Retina XDR-skärm, 24 GB enhetligt minne, 512 GB SSD-lagring, rymdsvart",28 989
"Apple 2024 MacBook Pro med M4 Pro-chip med 12-kärnig processor och 16-kärnig grafik: 14,2-tums Liquid Retina XDR-skärm, 24 GB enhetligt minne, 512 GB SSD-lagring, rymdsvart",28 989
"Apple 2024 MacBook Pro med M4 Pro-chip med 12-kärnig processor och 16-kärnig grafik: 14,2-tums Liquid Retina XDR-skärm, 24 GB enhetligt minne, 512 GB SSD-lagring, rymdsvart",28 989
"2019 Apple MacBook Pro (16 tum, Touch Bar, 2,3 GHz åttakärnig Intel Core i9-processor, 16 GB RAM, 1 TB) - rymdgrå",12 999
"2019 Apple MacBook Pro (16 tum, Touch Bar, 2,3 GHz åttakärnig Intel Core i9-processor, 16 GB RAM, 1 TB) - rymdgrå",12 999
"2019 Apple MacBook Pro (16 tum, Touch Bar, 2,3 GHz åttakärnig Intel Core i9-processor, 16 GB RAM, 1 TB) - rymdgrå",12 999
"Apple 2023 MacBook Pro – bärbar dator med M3-chip med 8 kärnig processor och 10 kärnig grafik, 14,2-tums Liquid Retina XDR-skärm, 8 GB enhetligt minne, 1 TB SSD-lagring; silver",21 576
"Apple 2023 MacBook Pro – bärbar dator med M3-chip med 8 kärnig processor och 10 kärnig grafik, 14,2-tums Liquid Retina XDR-skärm, 8 GB enhetligt minne, 1 TB SSD-lagring; rymdgrå",21 576
"Apple 2023 MacBook Pro – bärbar dator med M3-chip med 8 kärnig processor och 10 kärnig grafik, 14,2-tums Liquid Retina XDR-skärm, 8 GB enhetligt minne, 1 TB SSD-lagring; silver",21 576
"Apple 2023 MacBook Pro – bärbar dator med M3-chip med 8 kärnig processor och 10 kärnig grafik, 14,2-tums Liquid Retina XDR-skärm, 8 GB enhetligt minne, 1 TB SSD-lagring; silver",21 576
"Apple 2023 MacBook Pro – bärbar dator med M3-chip med 8 kärnig processor och 10 kärnig grafik, 14,2-tums Liquid Retina XDR-skärm, 8 GB enhetligt minne, 1 TB SSD-lagring; silver",21 576
"Apple 2023 MacBook Pro – bärbar dator med M3-chip med 8 kärnig processor och 10 kärnig grafik, 14,2-tums Liquid Retina XDR-skärm, 8 GB enhetligt minne, 1 TB SSD-lagring; silver",21 576
"Apple 2023 MacBook Pro – bärbar dator med M3 Pro-chip med 12‑kärnig processor och 18‑kärnig grafik, 16,2-tums Liquid Retina XDR-skärm, 18 GB enhetligt minne, 512 GB SSD-lagring; rymdsvart",31 476
"Apple 2023 MacBook Pro – bärbar dator med M3 Pro-chip med 12‑kärnig processor och 18‑kärnig grafik, 16,2-tums Liquid Retina XDR-skärm, 36 GB enhetligt minne, 512 GB SSD-lagring; silver",36 476
"Apple 2023 MacBook Pro – bärbar dator med M3 Pro-chip med 12‑kärnig processor och 18‑kärnig grafik, 16,2-tums Liquid Retina XDR-skärm, 18 GB enhetligt minne, 512 GB SSD-lagring; rymdsvart",31 476
"Apple 2023 MacBook Pro – bärbar dator med M3 Pro-chip med 12‑kärnig processor och 18‑kärnig grafik, 16,2-tums Liquid Retina XDR-skärm, 18 GB enhetligt minne, 512 GB SSD-lagring; rymdsvart",31 476
"Apple 2024 MacBook Pro med M4 Pro-chip med 14-kärnig processor och 20-kärnig grafik: 16,2-tums Liquid Retina XDR-skärm, 24 GB enhetligt minne, 512 GB SSD-lagring, rymdsvart",35 990
"Apple 2024 MacBook Pro med M4 Pro-chip med 14-kärnig processor och 20-kärnig grafik: 16,2-tums Liquid Retina XDR-skärm, 24 GB enhetligt minne, 512 GB SSD-lagring, rymdsvart",35 990
"Apple 2021 MacBook Pro (16 tum, Apple M1 Pro-chip med tio processor och sexton grafikprocessor, 16 GB RAM, 1 TB SSD) - rymdgrå",32 518
"Apple 2021 MacBook Pro (16 tum, Apple M1 Pro-chip med tio processor och sexton grafikprocessor, 16 GB RAM, 1 TB SSD) - silver",32 518
"Apple 2021 MacBook Pro (16 tum, Apple M1 Pro-chip med tio processor och sexton grafikprocessor, 16 GB RAM, 1 TB SSD) - rymdgrå",32 518
"Apple 2021 MacBook Pro (16 tum, Apple M1 Pro-chip med tio processor och sexton grafikprocessor, 16 GB RAM, 1 TB SSD) - rymdgrå",32 518
"Apple 2021 MacBook Pro (16 tum, Apple M1 Pro-chip med tio processor och sexton grafikprocessor, 16 GB RAM, 1 TB SSD) - rymdgrå",32 518
"Apple MacBook Pro (2023) med M2 Max-chip: 14,2-tums Liquid Retina XDR-skärm, 16 GB RAM-minne, 1 TB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p. Fungerar med iPhone/iPad; rymdgrå",44 391
"Apple MacBook Pro (2023) med M2 Max-chip: 14,2-tums Liquid Retina XDR-skärm, 16 GB RAM-minne, 1 TB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p. Fungerar med iPhone/iPad; rymdgrå",44 391
"Apple MacBook Pro (2023) med M2 Max-chip: 14,2-tums Liquid Retina XDR-skärm, 16 GB RAM-minne, 1 TB SSD-lagring, bakbelyst tangentbord, FaceTime HD-kamera med 1080p. Fungerar med iPhone/iPad; rymdgrå",44 391
Apple 240 W usb-c-laddningskabel (2 m) ​​​​​​​,376
Apple 240 W usb-c-laddningskabel (2 m) ​​​​​​​,376
Apple 240 W usb-c-laddningskabel (2 m) ​​​​​​​,376
"Apple 2023 MacBook Pro – bärbar dator med M3 Pro-chip med 11‑kärnig processor och 14‑kärnig grafik, 14,2-tums Liquid Retina XDR-skärm, 18 GB enhetligt minne, 512 GB SSD-lagring; rymdsvart",27 595
"Apple 2023 MacBook Pro – bärbar dator med M3 Pro-chip med 11‑kärnig processor och 14‑kärnig grafik, 14,2-tums Liquid Retina XDR-skärm, 18 GB enhetligt minne, 512 GB SSD-lagring; silver",27 595
